,pair,sentence,attitude
2024,"польша,германия"," В Евросоюзе есть и другие страны ориентированные на Соединенные Штаты — например Польша и страны Балтии и даже Германия 
",neutral
2025,"путин,варшавский договор"," А в другом своем твите он пояснил что Путин «сожалел о распаде СССР и организации Варшавского договора так что он рад видеть как начинает рушиться европейское единство»
",pos
2026,"путин,великобритания"," Высокопоставленные российские чиновники и политические союзники Путина дают понять что ожидают от выхода Великобритании из ЕС положительных последствий — хотя сам российский лидер об этом не говорил
 Однако Brexit может оказаться явно выгодным для Путина в одном Европа которая после выхода Великобритании будет заниматься вопросами реформирования и с головой уйдет в сложные переговоры об отделении Великобритании не будет уделять особого внимания постсоветским государствам которые захотят к ней присоединиться — Украине и Грузии 
",neutral
2027,"путин,германия"," Канцлер Германии Ангела Меркель выступала в качестве движущей силы в вопросах санкций в гораздо большей степени чем Кэмерон и Путин должен понимать что решающую роль играет Германия 
",neutral
2028,"путин,европа"," Однако Brexit может оказаться явно выгодным для Путина в одном Европа которая после выхода Великобритании будет заниматься вопросами реформирования и с головой уйдет в сложные переговоры об отделении Великобритании не будет уделять особого внимания постсоветским государствам которые захотят к ней присоединиться — Украине и Грузии 
",neutral
2029,"путин,ес"," В ходе кампании с призывами «остаться» на Путина ссылались чтобы попытаться напугать британцев и заставить голосовать за сохранение членства в ЕС 
 Высокопоставленные российские чиновники и политические союзники Путина дают понять что ожидают от выхода Великобритании из ЕС положительных последствий — хотя сам российский лидер об этом не говорил
 Вопрос о том хочет ли Путин ослабления ЕС не обязательно связан с санкциями 
",neutral
2030,"путин,ес положительный последствие"," Высокопоставленные российские чиновники и политические союзники Путина дают понять что ожидают от выхода Великобритании из ЕС положительных последствий — хотя сам российский лидер об этом не говорил
",neutral
2031,"путин,ссср"," А в другом своем твите он пояснил что Путин «сожалел о распаде СССР и организации Варшавского договора так что он рад видеть как начинает рушиться европейское единство»
",pos
2032,"путин,сша"," Однако Путин всегда ставит геополитику выше экономики поэтому этот вопрос отходит на второй план на фоне задачи ослабления влияния США в Европе
",neg
2033,"путин,украина"," Однако Brexit может оказаться явно выгодным для Путина в одном Европа которая после выхода Великобритании будет заниматься вопросами реформирования и с головой уйдет в сложные переговоры об отделении Великобритании не будет уделять особого внимания постсоветским государствам которые захотят к ней присоединиться — Украине и Грузии 
",neutral
2034,"россия,brexit"," Даже при том что Россия не оказала особого влияния на результат референдума Brexit если вообще таковое влияние было некоторые считают выход Британии победой президента Владимира Путина 
 Некоторые наблюдатели в США которые следят за действиями России также утверждают что Brexit Путину выгоден 
",neutral
2035,"россия,brexit путин"," Некоторые наблюдатели в США которые следят за действиями России также утверждают что Brexit Путину выгоден 
",neutral
2036,"россия,британия"," Даже при том что Россия не оказала особого влияния на результат референдума Brexit если вообще таковое влияние было некоторые считают выход Британии победой президента Владимира Путина 
",neutral
2037,"россия,великобритания"," Министр иностранных дел Филип Хаммонд заявил в марте что Россия — «единственная страна» которая хочет чтобы Великобритания вышла из ЕС 
",neutral
2038,"россия,владимир путин"," Даже при том что Россия не оказала особого влияния на результат референдума Brexit если вообще таковое влияние было некоторые считают выход Британии победой президента Владимира Путина 
",neutral
2039,"россия,европа"," Он сказал что выход Великобритании из ЕС может иметь негативные экономические последствия для России потому что это уже отражается на валютных и товарных рынках и что на санкционную политику Европы это не повлияет Одной из причин того что Россия поддерживает движения евроскептиков в Европе является их антиамериканская направленность 
",neutral
2040,"россия,ес"," Министр иностранных дел Филип Хаммонд заявил в марте что Россия — «единственная страна» которая хочет чтобы Великобритания вышла из ЕС 
 Другими словами Россия надеется что ЕС смягчит свою позицию 
",neg
2041,"россия,путин"," Некоторые наблюдатели в США которые следят за действиями России также утверждают что Brexit Путину выгоден 
",neutral
2042,"россия,рф"," Косачев заявил в пятницу что Россия не заинтересована в дестабилизации своего крупнейшего торгового партнера — в частности того партнера в валюте которого номинированы 40 золотовалютных резервов Центрального банка РФ 
",neutral
2043,"россия,центральный банк"," Косачев заявил в пятницу что Россия не заинтересована в дестабилизации своего крупнейшего торгового партнера — в частности того партнера в валюте которого номинированы 40 золотовалютных резервов Центрального банка РФ 
",neutral
2044,"североатлантический договор,ес"," Великобритания остается членом организации Североатлантического договора вместе с большинством странчленов ЕС 
",neutral
2045,"сергей лавров,хаммонд"," Министр иностранных дел Сергей Лавров заявил что отказывается комментировать слова Хаммонда поскольку не обладает необходимой для этого медицинской квалификацией 
",neg
2046,"совет федерация,великобритания"," По словам Константина Косачева председателя комитета по международным делам Совета Федерации он ожидает что теперь после ухода Великобритании «по санкциям начнется новая более живая дискуссия»
",neutral
2047,"соединять штат,балтия"," В Евросоюзе есть и другие страны ориентированные на Соединенные Штаты — например Польша и страны Балтии и даже Германия 
",neutral
2048,"соединять штат,германия"," В Евросоюзе есть и другие страны ориентированные на Соединенные Штаты — например Польша и страны Балтии и даже Германия 
",neutral
2049,"соединять штат,польша"," В Евросоюзе есть и другие страны ориентированные на Соединенные Штаты — например Польша и страны Балтии и даже Германия 
",neutral
2050,"ссср,варшавский договор"," А в другом своем твите он пояснил что Путин «сожалел о распаде СССР и организации Варшавского договора так что он рад видеть как начинает рушиться европейское единство»
",neutral
2051,"сша,brexit"," Некоторые наблюдатели в США которые следят за действиями России также утверждают что Brexit Путину выгоден 
 Если ЕС станет более сплоченным без Великобритании которая часто тянула в другом направлении и если свою роль сыграют США Brexit в конечном счете сможет помешать реализации внешнеполитических целей Путина
",neutral
2052,"сша,brexit путин"," Некоторые наблюдатели в США которые следят за действиями России также утверждают что Brexit Путину выгоден 
",neutral
2053,"сша,facebook"," «Самое главное долгосрочное последствие всего этого — выход оторвет Европу от англосаксов то есть от США — написал в Facebook бизнесомбудсмен Борис Титов 
",neutral
2054,"сша,борис титов"," «Самое главное долгосрочное последствие всего этого — выход оторвет Европу от англосаксов то есть от США — написал в Facebook бизнесомбудсмен Борис Титов 
",neutral
2055,"сша,великобритания"," Как актуальный сегодня вопрос санкций так и состояние Евросоюза в долгосрочной перспективе а также вопрос о его взаимоотношениях с США никогда не зависели от Великобритании в той же степени как они зависели от континентальных государств Европы 
",neutral
2056,"сша,европа"," Правда далеко не факт что влияние США в Европе уменьшится 
 Как актуальный сегодня вопрос санкций так и состояние Евросоюза в долгосрочной перспективе а также вопрос о его взаимоотношениях с США никогда не зависели от Великобритании в той же степени как они зависели от континентальных государств Европы 
",neutral
2057,"сша,путин"," Раскол между ЕС и США будет выгоден Путину не просто изза ослабления санкций он ослабит то что российский президент считает угрозой для существования своего режима которая исходит от США
",neutral
2058,"сша,россия"," Некоторые наблюдатели в США которые следят за действиями России также утверждают что Brexit Путину выгоден 
 Нужно отдать ему должное» — написал на своей странице в Twitter бывший посол США в России Майкл Макфол Michael McFaul 
",neutral
2059,"украина,грузия"," Однако Brexit может оказаться явно выгодным для Путина в одном Европа которая после выхода Великобритании будет заниматься вопросами реформирования и с головой уйдет в сложные переговоры об отделении Великобритании не будет уделять особого внимания постсоветским государствам которые захотят к ней присоединиться — Украине и Грузии 
",neutral
2060,"украина,россия"," Это увеличивает шансы того что попытки Украины вырваться из орбиты России ни к чему не приведут

",neg
2061,"филип хаммонд,великобритания"," Министр иностранных дел Филип Хаммонд заявил в марте что Россия — «единственная страна» которая хочет чтобы Великобритания вышла из ЕС 
",neutral
2062,"филип хаммонд,россия"," Министр иностранных дел Филип Хаммонд заявил в марте что Россия — «единственная страна» которая хочет чтобы Великобритания вышла из ЕС 
",neutral
2063,"филип хаммонд,хаммонд"," Министр иностранных дел Филип Хаммонд заявил в марте что Россия — «единственная страна» которая хочет чтобы Великобритания вышла из ЕС 
",neutral
2064,"хаммонд,великобритания"," Министр иностранных дел Филип Хаммонд заявил в марте что Россия — «единственная страна» которая хочет чтобы Великобритания вышла из ЕС 
",neutral
2065,"хаммонд,ес"," Министр иностранных дел Филип Хаммонд заявил в марте что Россия — «единственная страна» которая хочет чтобы Великобритания вышла из ЕС 
",neutral
2066,"хаммонд,макфол"," Однако в заявлениях Хаммонда и Макфола чтото есть 
",neutral
2067,"хаммонд,россия"," Министр иностранных дел Филип Хаммонд заявил в марте что Россия — «единственная страна» которая хочет чтобы Великобритания вышла из ЕС 
",neg
2068,"центральный банк,рф"," Косачев заявил в пятницу что Россия не заинтересована в дестабилизации своего крупнейшего торгового партнера — в частности того партнера в валюте которого номинированы 40 золотовалютных резервов Центрального банка РФ 
",neutral
2069,"author,foreign affairs"," Российский политолог Глеб Павловский сообщил американскому журналу Foreign Affairs «Россия уже контролируется системой которая использует Путина только в качестве логотипа 
",neutral
2070,"author,the huffington post"," Эксперт по России Ханс Хеннинг Шрёдер Hans henning Schroeder недавно сказал The Huffington Post Чтобы в России появился новый президент Путин должен счесть этого человека подходящей кандидатурой — «и указать на него пальцем»
",neutral
2071,"author,глеб павловский"," Российский политолог Глеб Павловский сообщил американскому журналу Foreign Affairs «Россия уже контролируется системой которая использует Путина только в качестве логотипа 
",neutral
2072,"author,ельцин"," Он стал членом правительства в 1990 году служил при Ельцине Путине и недолго пребывавшем на посту Медведеве 
",neutral
2073,"author,запад"," Эксперты давно уверены что Сергей Шойгу — стратег который стоит за текущим внешнеполитическим курсом России который Запад часто расценивает как агрессию
 Время высоких внешнеполитических рисков к которым можно отнести аннексию Крыма позади — даже если Запад думает подругому 
",neutral
2074,"author,кремль"," Тем не менее эксперты уже давно знают каким бы могущественным ни хотел казаться Путин на самом деле в Кремле он таковым не является
 Тем не менее эксперты уже давно знают каким бы могущественным не хотел казаться Путин на самом деле в Кремле он таковым не является
 Кремль не жалеет денег на реформу армии
 Кремль не жалел на это средств 
",neutral
2075,"author,крым"," Шойгу может записать на свой счет военные успехи России в Крыму на востоке Украины и в Сирии
 Время высоких внешнеполитических рисков к которым можно отнести аннексию Крыма позади — даже если Запад думает подругому 
",neutral
2076,"author,медведев"," Он стал членом правительства в 1990 году служил при Ельцине Путине и недолго пребывавшем на посту Медведеве 
",neutral
2077,"author,немецкий институт международный политика и безопасность"," «Все попрежнему работает по принципу хороший царь плохие бояре» — сказал Шрёдер бывший директор Немецкого института международной политики и безопасности 
",neutral
2078,"author,путин"," Владимир Путин несокрушим как скала во время бури 
 Тем не менее эксперты уже давно знают каким бы могущественным ни хотел казаться Путин на самом деле в Кремле он таковым не является
 Тем не менее эксперты уже давно знают каким бы могущественным не хотел казаться Путин на самом деле в Кремле он таковым не является
 Российский политолог Глеб Павловский сообщил американскому журналу Foreign Affairs «Россия уже контролируется системой которая использует Путина только в качестве логотипа 
 Эксперт по России Ханс Хеннинг Шрёдер Hans henning Schroeder недавно сказал The Huffington Post Чтобы в России появился новый президент Путин должен счесть этого человека подходящей кандидатурой — «и указать на него пальцем»
 Он стал членом правительства в 1990 году служил при Ельцине Путине и недолго пребывавшем на посту Медведеве 
 В 2000 году он подарил президенту черного лабрадора Кони которая быстро стал любимой собакой Путина 
",pos
2079,"author,россия"," В царской России боярами называли мелких дворян которых презирало население

 Он также говорит что эксперты считают Сергея Шойгу нынешнего министра обороны России кандидатом на пост президента России Под управлением Шойгу военные расходы значительно возросли Россия тратит на вооружение почти пять процентов от ВВП 
 Эксперты давно уверены что Сергей Шойгу — стратег который стоит за текущим внешнеполитическим курсом России который Запад часто расценивает как агрессию
 Сейчас Россия идет вперед все с той же целью — укрепить свою власть без больших потерь
",neutral
2080,"author,сергей шойгу", Он также говорит что эксперты считают Сергея Шойгу нынешнего министра обороны России кандидатом на пост президента России,neutral
2081,"author,сирия"," Истории успеха из Сирии хорошо принимает и российское население 
",neutral
2082,"author,сми"," Часто Шойгу сопровождал президента во время устроенных для СМИ приключений и охоты
",neutral
2083,"author,украина"," Шойгу может записать на свой счет военные успехи России в Крыму на востоке Украины и в Сирии
",neutral
2084,"author,хотя шойгу"," Хотя Шойгу возможно замешан в масштабном коррупционном скандале он давно один из немногих любимцев населения и регулярно занимает верхние позиции в опросах российского института исследований общественного мнения ВЦИОМ
",neutral
2085,"author,шойгу"," Он также говорит что эксперты считают Сергея Шойгу нынешнего министра обороны России кандидатом на пост президента России Под управлением Шойгу военные расходы значительно возросли Россия тратит на вооружение почти пять процентов от ВВП 
 Часто Шойгу сопровождал президента во время устроенных для СМИ приключений и охоты
 Эксперты давно уверены что Сергей Шойгу — стратег который стоит за текущим внешнеполитическим курсом России который Запад часто расценивает как агрессию
 Хотя Шойгу возможно замешан в масштабном коррупционном скандале он давно один из немногих любимцев населения и регулярно занимает верхние позиции в опросах российского института исследований общественного мнения ВЦИОМ
",neutral
2086,"author,шредер"," Эксперт по России Ханс Хеннинг Шрёдер Hans henning Schroeder недавно сказал The Huffington Post Чтобы в России появился новый президент Путин должен счесть этого человека подходящей кандидатурой — «и указать на него пальцем»
 «Все попрежнему работает по принципу хороший царь плохие бояре» — сказал Шрёдер бывший директор Немецкого института международной политики и безопасности 
",neutral
2087,"foreign affairs,путин"," Российский политолог Глеб Павловский сообщил американскому журналу Foreign Affairs «Россия уже контролируется системой которая использует Путина только в качестве логотипа 
",neutral
2088,"the huffington post,путин"," Эксперт по России Ханс Хеннинг Шрёдер Hans henning Schroeder недавно сказал The Huffington Post Чтобы в России появился новый президент Путин должен счесть этого человека подходящей кандидатурой — «и указать на него пальцем»
",neutral
2089,"владимир путин,путин"," Владимир Путин несокрушим как скала во время бури 
 Но каким будет период после Владимира Путина 
",neutral
2090,"глеб павловский,foreign affairs"," Российский политолог Глеб Павловский сообщил американскому журналу Foreign Affairs «Россия уже контролируется системой которая использует Путина только в качестве логотипа 
",neutral
2091,"глеб павловский,путин"," Российский политолог Глеб Павловский сообщил американскому журналу Foreign Affairs «Россия уже контролируется системой которая использует Путина только в качестве логотипа 
",neutral
2092,"ельцин,медведев"," Он стал членом правительства в 1990 году служил при Ельцине Путине и недолго пребывавшем на посту Медведеве 
",neutral
2093,"ельцин,путин"," Он стал членом правительства в 1990 году служил при Ельцине Путине и недолго пребывавшем на посту Медведеве 
",neutral
2094,"конь,путин"," В 2000 году он подарил президенту черного лабрадора Кони которая быстро стал любимой собакой Путина 
",neutral
2095,"крым,запад"," Время высоких внешнеполитических рисков к которым можно отнести аннексию Крыма позади — даже если Запад думает подругому 
",neutral
2096,"крым,украина"," Шойгу может записать на свой счет военные успехи России в Крыму на востоке Украины и в Сирии
",neutral
2097,"москва,ханс хеннинг шредер"," «В Сирии Москва увидела новую возможность для успешной операции» — объясняет Ханс Хеннинг Шрёдер 
",neutral
2098,"москва,шредер"," «В Сирии Москва увидела новую возможность для успешной операции» — объясняет Ханс Хеннинг Шрёдер 
",neutral
2099,"путин,кремль"," Тем не менее эксперты уже давно знают каким бы могущественным ни хотел казаться Путин на самом деле в Кремле он таковым не является
 Тем не менее эксперты уже давно знают каким бы могущественным не хотел казаться Путин на самом деле в Кремле он таковым не является
",neutral
2100,"путин,медведев"," Он стал членом правительства в 1990 году служил при Ельцине Путине и недолго пребывавшем на посту Медведеве 
",neutral
2101,"россия,the huffington post"," Эксперт по России Ханс Хеннинг Шрёдер Hans henning Schroeder недавно сказал The Huffington Post Чтобы в России появился новый президент Путин должен счесть этого человека подходящей кандидатурой — «и указать на него пальцем»
",neutral
2102,"россия,запад"," Эксперты давно уверены что Сергей Шойгу — стратег который стоит за текущим внешнеполитическим курсом России который Запад часто расценивает как агрессию
",neutral
2103,"россия,крым"," Шойгу может записать на свой счет военные успехи России в Крыму на востоке Украины и в Сирии
",neutral
2104,"россия,пентагон"," «Российская армия демонстрирует способности и организацию которых не было никогда прежде» — сделала вывод Эвелин Фаркаш Evelyn Farkas эксперт по России в Пентагоне 
",neutral
2105,"россия,украина"," Шойгу может записать на свой счет военные успехи России в Крыму на востоке Украины и в Сирии
",neg
2106,"россия,ханс хеннинг шредер"," Эксперт по России Ханс Хеннинг Шрёдер Hans henning Schroeder недавно сказал The Huffington Post Чтобы в России появился новый президент Путин должен счесть этого человека подходящей кандидатурой — «и указать на него пальцем»
",neutral
2107,"россия,шредер"," Эксперт по России Ханс Хеннинг Шрёдер Hans henning Schroeder недавно сказал The Huffington Post Чтобы в России появился новый президент Путин должен счесть этого человека подходящей кандидатурой — «и указать на него пальцем»
",neutral
2108,"сергей шойгу,запад"," Эксперты давно уверены что Сергей Шойгу — стратег который стоит за текущим внешнеполитическим курсом России который Запад часто расценивает как агрессию
",neutral
2109,"сергей шойгу,россия"," Он также говорит что эксперты считают Сергея Шойгу нынешнего министра обороны России кандидатом на пост президента России Эксперты давно уверены что Сергей Шойгу — стратег который стоит за текущим внешнеполитическим курсом России который Запад часто расценивает как агрессию
",neutral
2110,"сергей шойгу,шойгу"," Он также говорит что эксперты считают Сергея Шойгу нынешнего министра обороны России кандидатом на пост президента России Эксперты давно уверены что Сергей Шойгу — стратег который стоит за текущим внешнеполитическим курсом России который Запад часто расценивает как агрессию
",neutral
2111,"сирия,москва"," «В Сирии Москва увидела новую возможность для успешной операции» — объясняет Ханс Хеннинг Шрёдер 
",neutral
2112,"сирия,ханс хеннинг шредер"," «В Сирии Москва увидела новую возможность для успешной операции» — объясняет Ханс Хеннинг Шрёдер 
",neutral
2113,"сирия,шредер"," «В Сирии Москва увидела новую возможность для успешной операции» — объясняет Ханс Хеннинг Шрёдер 
",neutral
2114,"ханс хеннинг шредер,the huffington post"," Эксперт по России Ханс Хеннинг Шрёдер Hans henning Schroeder недавно сказал The Huffington Post Чтобы в России появился новый президент Путин должен счесть этого человека подходящей кандидатурой — «и указать на него пальцем»
",neutral
2115,"ханс хеннинг шредер,путин"," Эксперт по России Ханс Хеннинг Шрёдер Hans henning Schroeder недавно сказал The Huffington Post Чтобы в России появился новый президент Путин должен счесть этого человека подходящей кандидатурой — «и указать на него пальцем»
",neutral
2116,"ханс хеннинг шредер,шредер"," Эксперт по России Ханс Хеннинг Шрёдер Hans henning Schroeder недавно сказал The Huffington Post Чтобы в России появился новый президент Путин должен счесть этого человека подходящей кандидатурой — «и указать на него пальцем»
 «В Сирии Москва увидела новую возможность для успешной операции» — объясняет Ханс Хеннинг Шрёдер 
",neutral
2117,"хотя шойгу,шойгу"," Хотя Шойгу возможно замешан в масштабном коррупционном скандале он давно один из немногих любимцев населения и регулярно занимает верхние позиции в опросах российского института исследований общественного мнения ВЦИОМ
",neutral
2118,"шойгу,запад"," Эксперты давно уверены что Сергей Шойгу — стратег который стоит за текущим внешнеполитическим курсом России который Запад часто расценивает как агрессию
",neutral
2119,"шойгу,крым"," Шойгу может записать на свой счет военные успехи России в Крыму на востоке Украины и в Сирии
",neutral
2120,"шойгу,путин"," Шойгу — ближайшее доверенное лицо Путина 
 Потому что Шойгу выгоден блеск Путина он излучает спокойствие — и приносит результаты 
",pos
2121,"шойгу,россия"," Он также говорит что эксперты считают Сергея Шойгу нынешнего министра обороны России кандидатом на пост президента России Шойгу может записать на свой счет военные успехи России в Крыму на востоке Украины и в Сирии
 Под управлением Шойгу военные расходы значительно возросли Россия тратит на вооружение почти пять процентов от ВВП 
 Эксперты давно уверены что Сергей Шойгу — стратег который стоит за текущим внешнеполитическим курсом России который Запад часто расценивает как агрессию
",neutral
2122,"шойгу,сми"," Часто Шойгу сопровождал президента во время устроенных для СМИ приключений и охоты
",neutral
2123,"шойгу,украина"," Шойгу может записать на свой счет военные успехи России в Крыму на востоке Украины и в Сирии
",neutral
2124,"шредер,the huffington post"," Эксперт по России Ханс Хеннинг Шрёдер Hans henning Schroeder недавно сказал The Huffington Post Чтобы в России появился новый президент Путин должен счесть этого человека подходящей кандидатурой — «и указать на него пальцем»
",neutral
2125,"шредер,немецкий институт международный политика и безопасность"," «Все попрежнему работает по принципу хороший царь плохие бояре» — сказал Шрёдер бывший директор Немецкого института международной политики и безопасности 
",neutral
2126,"шредер,путин"," Эксперт по России Ханс Хеннинг Шрёдер Hans henning Schroeder недавно сказал The Huffington Post Чтобы в России появился новый президент Путин должен счесть этого человека подходящей кандидатурой — «и указать на него пальцем»
",neutral
2127,"author,голанский высота"," Возможно Нетаньяху объяснил Путину почему счел необходимым высказаться насчет Голанских высот хотя совершенно ясно что Путин даже если и слушал его объяснения остался при своем мнении и считает что в рамках мирного соглашения Израиль должен уйти с Голан
",neutral
2128,"author,израиль"," Израилю и России важно поддерживать связи Возможно Нетаньяху объяснил Путину почему счел необходимым высказаться насчет Голанских высот хотя совершенно ясно что Путин даже если и слушал его объяснения остался при своем мнении и считает что в рамках мирного соглашения Израиль должен уйти с Голан
",pos
2129,"author,ицхак шамир"," В воскресенье утром я приносил доклад вицепремьеру Ицхаку Шамиру и он просматривал его 
",neutral
2130,"author,путин"," Возможно Нетаньяху объяснил Путину почему счел необходимым высказаться насчет Голанских высот хотя совершенно ясно что Путин даже если и слушал его объяснения остался при своем мнении и считает что в рамках мирного соглашения Израиль должен уйти с Голан
",neg
2131,"author,россия"," Израилю и России важно поддерживать связи Если ктото устав и разочаровавшись в США захотел бы сменить их на другого партнера вряд ли бы он подумал об авторитарной России с ослабленной экономикой 
 Но Россия в состоянии «испортить праздник» и очень помешать нам 
",neg
2132,"author,ссср"," Россия развеяла надежды на истинную демократию после распада СССР и ее переход к рыночной экономике выразился прежде всего в приватизации средств производства новыми быстро обогатившимися олигархами которые по сути правят страной
",neutral
